Station_ID Latitude Longitude Closer_Vertex_ID Further_Vertex_ID Segment_ID NumTotalSegments Capacity
-1 50.2345 12.8828 563 562 0 1 4
-1 49.3174 17.4866 4410 4408 0 1 4
-1 49.8181 18.1613 5873 3954 0 1 4
55 50.2776 14.272 2405 2403 1 2 4
56 50.152 12.2181 7246 1433 4 5 4
57 49.6616 13.3427 4417 4415 0 1 4
-1 50.6415 13.8195 5538 1111 0 1 4
59 48.9727 17.4819 1009 5428 2 6 4
-1 49.3669 14.7221 6281 5328 0 1 4
61 50.791 15.0086 5011 4379 0 1 4
62 49.7833 16.9119 3195 147 0 1 4
63 49.6044 17.2182 1210 143 0 1 4
64 50.4477 16.9987 5560 4117 3 5 4
65 50.5969 13.6189 2859 2858 0 1 4
-1 50.9332 14.5583 3141 3140 0 1 4
-1 49.0332 15.825 5199 5196 0 1 4
-1 49.3102 14.1387 2334 2333 0 1 4
70 49.5718 18.356 2714 2712 0 1 4
71 49.1499 17.0825 5990 5989 0 1 4
72 48.8743 17.2438 2617 2282 0 1 4
73 49.7382 13.5084 1836 1835 0 1 4
-1 50.31 14.3145 7342 4589 0 1 4
75 49.5566 17.3216 4195 3084 0 1 4
-1 50.0689 15.9883 6778 970 0 1 4
77 50.1358 13.3692 6999 6157 3 5 4
79 49.8767 18.0968 6138 4109 0 1 4
80 50.2006 12.7434 4399 4398 0 1 4
81 50.1167 15.787 3255 3934 0 2 4
82 49.6873 15.5312 5212 5210 0 1 4
83 48.8741 16.0531 6503 6497 0 1 4
85 50.5101 14.7841 6898 6897 0 1 4
86 50.2302 17.3774 4519 5650 3 18 4
88 50.8753 14.5837 4268 4264 0 1 4
89 48.5548 14.319 6633 2514 1 2 4
-1 49.5597 13.0611 4423 4422 0 1 4
93 50.3551 12.468 7460 2252 0 1 4
94 49.0391 14.5341 7397 6594 3 6 4
-1 50.1215 14.7047 6698 6652 0 1 4
96 49.8464 18.1389 3970 3969 0 1 4
97 48.9891 15.1188 5824 5813 1 2 4
99 48.9529 17.3821 7713 7707 0 1 4
-1 49.9146 16.9112 6894 6371 0 1 4
-1 49.7778 16.911 3198 213 0 1 4
-1 49.7831 18.3741 4021 1896 0 1 4
103 49.761 16.6346 5503 968 3 6 4
104 49.1857 16.7575 5600 1815 0 1 4
106 49.9804 14.4656 3825 3617 0 1 4
109 49.5193 14.0727 5381 4735 0 1 4
110 49.8117 15.5865 4993 5212 12 27 4
-1 49.968 15.3132 2491 2487 0 1 4
112 50.6084 14.5799 6189 2942 0 1 4
-1 49.7265 18.018 3902 3901 0 1 4
114 49.6968 15.8047 4888 1029 0 1 4
-1 49.06 16.67 2690 2685 0 1 4
-1 49.3132 17.4106 5027 4459 0 1 4
117 50.6939 13.9507 3467 887 0 1 4
-1 50.3102 14.3153 4588 4587 0 1 4
-1 49.4037 17.1052 1761 1205 0 1 4
-1 50.4812 14.9657 1500 1499 0 1 4
122 49.7909 13.3273 3146 3145 0 1 4
123 49.9108 18.342 4499 4448 0 1 4
126 49.5698 17.496 7268 7266 0 1 4
-1 50.5071 13.6654 5413 2237 0 1 4
129 49.1739 16.8246 1851 234 0 1 4
130 49.8837 16.8459 966 1860 6 29 4
131 50.3802 16.8527 6942 4520 25 34 4
132 49.8194 18.3649 3686 3685 0 1 4
133 49.4428 17.4576 1012 1004 0 1 4
134 49.8495 18.1385 3972 3971 0 1 4
135 49.9839 16.1148 7594 5929 0 1 4
137 49.6989 13.4322 936 935 0 1 4
-1 49.806 18.2078 5173 3324 0 1 4
