  numStations    runDownBat    travelDur    batteryDiff    waitingTime     bestLoss    simulationTime    numClosestStations    carConsumption    exponentialLambdaCities    exponentialLambdaDepartures    endCityRatio    chargingTreshold    batteryTolerance    carVelocity
          251        133372     119.939       -0.400851       202.834   1.33626e+07              1000                     1            0.0001                      0.01                            1000          100                    0.5                0                 3
          251        133893      88.0077      -0.396463        94.6949  1.34146e+07               500                     1            0.0001                      0.001                           1000          100                    0.7                0.1               1
          251        134012     119.76        -0.398448       204.7     1.34266e+07              1000                     1            0.0001                      0.01                            1000          100                    0.7                0.1               3
          251        134672     119.365       -0.399434       204.33    1.34926e+07              1000                     1            0.0001                      0.01                            1000            0.1                  0.7                0.05              3
          251        135397     120.748       -0.395849       204.935   1.35651e+07              1000                     1            0.0001                      0.01                            1000           10                    0.3                0                 3
          251        136932      87.8285      -0.398946        94.3348  1.37185e+07               500                     1            0.0001                      0.001                           1000            0.1                  0.7                0.05              1
          251        137382     119.728       -0.399034       204.17    1.37636e+07              1000                     1            0.0001                      0.01                            1000          100                    0.5                0.05              3
          251        137835     120.232       -0.398319       204.296   1.38089e+07              1000                     1            0.0001                      0.01                            1000          100                    0.3                0.05              3
          251        138355     120.4         -0.395815       205.152   1.38609e+07              1000                     1            0.0001                      0.01                            1000           10                    0.5                0.05              3
          251        138941      88.1399      -0.401335        94.9119  1.39194e+07               500                     1            0.0001                      0.001                           1000            0.01                 0.5                0.1               1
          251        139087      87.8047      -0.402584        94.6835  1.3934e+07                500                     1            0.0001                      0.001                           1000          100                    0.7                0.05              1
          251        139449      88.0659      -0.397769        94.3487  1.39702e+07               500                     1            0.0001                      0.001                           1000            0.1                  0.3                0.1               1
          251        139462      88.4898      -0.401387        94.2784  1.39715e+07               500                     1            0.0001                      0.001                           1000          100                    0.3                0                 1
          251        139520     120.792       -0.399058       204.991   1.39774e+07              1000                     1            0.0001                      0.01                            1000          100                    0.3                0                 3
          251        139577      87.8636      -0.408323        94.3748  1.3983e+07                500                     1            0.0001                      0.001                           1000          100                    0.3                0.1               1
          251        139664      87.6456      -0.399433        94.8965  1.39917e+07               500                     1            0.0001                      0.001                           1000          100                    0.5                0                 1
          251        139727      87.7477      -0.403329        94.4769  1.3998e+07                500                     1            0.0001                      0.001                           1000            0.1                  0.5                0.1               1
          251        139732      88.536       -0.406741        94.1943  1.39985e+07               500                     1            0.0001                      0.001                           1000          100                    0.7                0                 1
          251        139920      87.7293      -0.399088        94.5626  1.40173e+07               500                     1            0.0001                      0.001                           1000           10                    0.3                0.05              1
          251        140160      87.7048      -0.403664        94.7443  1.40413e+07               500                     1            0.0001                      0.001                           1000            0.01                 0.7                0.05              1
          251        140164      88.2343      -0.40393         93.9803  1.40417e+07               500                     1            0.0001                      0.001                           1000            0.01                 0.7                0                 1
          251        140172      87.9892      -0.404124        94.5089  1.40425e+07               500                     1            0.0001                      0.001                           1000          100                    0.5                0.05              1
          251        140616      88.3843      -0.404796        94.2052  1.40869e+07               500                     1            0.0001                      0.001                           1000            0.1                  0.3                0                 1
          251        140639      87.72        -0.404482        94.4451  1.40892e+07               500                     1            0.0001                      0.001                           1000           10                    0.3                0.1               1
          251        140834      88.3167      -0.407655        94.7429  1.41087e+07               500                     1            0.0001                      0.001                           1000            0.1                  0.7                0                 1
          251        140886      88.08        -0.404622        94.4208  1.41139e+07               500                     1            0.0001                      0.001                           1000           10                    0.5                0.1               1
          251        141030      88.0213      -0.406268        94.4774  1.41283e+07               500                     1            0.0001                      0.001                           1000           10                    0.5                0.05              1
          251        141038      87.773       -0.407245        94.5999  1.41291e+07               500                     1            0.0001                      0.001                           1000           10                    0.7                0.05              1
          251        141171      87.9147      -0.4006          94.1468  1.41424e+07               500                     1            0.0001                      0.001                           1000          100                    0.5                0.1               1
          251        141392      87.9503      -0.408472        94.1888  1.41645e+07               500                     1            0.0001                      0.001                           1000            0.1                  0.7                0.1               1
          251        142030      88.1037      -0.409334        94.4446  1.42283e+07               500                     1            0.0001                      0.001                           1000            0.1                  0.5                0                 1
          251        142495     120.483       -0.399635       203.997   1.42749e+07              1000                     1            0.0001                      0.01                            1000            0.1                  0.7                0                 3
          251        142764      87.8115      -0.408018        94.7935  1.43017e+07               500                     1            0.0001                      0.001                           1000           10                    0.5                0                 1
          251        143241      87.4535      -0.399846        94.7065  1.43494e+07               500                     1            0.0001                      0.001                           1000          100                    0.3                0.05              1
          251        143404      88.4866      -0.407161        94.7149  1.43657e+07               500                     1            0.0001                      0.001                           1000           10                    0.3                0                 1
          251        143485     120.426       -0.400599       203.501   1.43739e+07              1000                     1            0.0001                      0.01                            1000           10                    0.3                0.05              3
          251        144305      86.8441      -0.400601        95.3463  1.44558e+07               500                     1            0.0001                      0.01                            1000           10                    0.5                0.1               1
          251        145099     120.455       -0.398305       204.492   1.45353e+07              1000                     1            0.0001                      0.01                            1000          100                    0.7                0.05              3
          251        145629      87.9411      -0.404237        93.999   1.45882e+07               500                     1            0.0001                      0.001                           1000            0.1                  0.5                0.05              1
          251        145741     120.022       -0.399269       203.447   1.45995e+07              1000                     1            0.0001                      0.001                           1000            0.1                  0.7                0                 3
          251        146534     119.471       -0.398559       203.758   1.46788e+07              1000                     1            0.0001                      0.01                            1000           10                    0.5                0.1               3
          251        147473     119.652       -0.401356       204.372   1.47727e+07              1000                     1            0.0001                      0.01                            1000          100                    0.3                0.1               3
          251        148071     119.195       -0.395246       205.239   1.48325e+07              1000                     1            0.0001                      0.001                           1000          100                    0.7                0.05              3
          251        151505     119.866       -0.39993        203.551   1.51759e+07              1000                     1            0.0001                      0.01                            1000          100                    0.7                0                 3
          251        246640      41.7681      -0.363953       101.192   2.46892e+07               500                     3            0.001                       0.1                             1000            0.1                  0.5                0.05              5
          251        250960      53.69        -0.375278       102.759   2.51213e+07               500                     3            0.001                       0.01                            1000            1                    0.3                0                 5
          251        251061      52.2788      -0.37271        102.758   2.51314e+07               500                     3            0.001                       0.01                            1000           10                    0.3                0.1               5
          251        251659      53.4597      -0.370445       101.013   2.51912e+07               500                     3            0.001                       0.01                            1000           10                    0.7                0                 5
          251        253238      53.3829      -0.371959       103.306   2.53491e+07               500                     3            0.001                       0.01                            1000           10                    0.5                0                 5
          251        253870      52.117       -0.373464       103.285   2.54123e+07               500                     3            0.001                       0.01                            1000          100                    0.7                0.1               5
          251        253903      53.3933      -0.375198       102.256   2.54156e+07               500                     3            0.001                       0.01                            1000           10                    0.3                0                 5
          251        254082      53.1254      -0.374642       103.02    2.54335e+07               500                     3            0.001                       0.01                            1000            1                    0.5                0.05              5
          251        254585      52.8787      -0.371234       103.558   2.54838e+07               500                     3            0.001                       0.01                            1000            1                    0.3                0.05              5
          251        255216      53.4092      -0.371155       100.593   2.55469e+07               500                     3            0.001                       0.01                            1000            1                    0.5                0                 5
          251        255362      53.3052      -0.370511        99.8436  2.55615e+07               500                     3            0.001                       0.01                            1000           10                    0.3                0.05              5
          251        255656      52.2844      -0.369949       101.331   2.55909e+07               500                     3            0.001                       0.01                            1000           10                    0.7                0.05              5
          251        256395      52.9143      -0.37593        103.072   2.56648e+07               500                     3            0.001                       0.01                            1000            1                    0.3                0.1               5
          251        257643      53.7071      -0.372817       100.218   2.57896e+07               500                     3            0.001                       0.01                            1000          100                    0.7                0                 5
          251        258885      52.1708      -0.371672       101.783   2.59138e+07               500                     3            0.001                       0.01                            1000           10                    0.7                0.1               5
          251        259195      53.0752      -0.369459       101.335   2.59448e+07               500                     3            0.001                       0.01                            1000           10                    0.5                0.05              5
          251        281310      53.1141      -0.371371       100.619   2.81563e+07               500                     3            0.001                       0.01                            1000            1                    0.5                0.05              3
          251        283222      52.826       -0.369338       104.355   2.83475e+07               500                     3            0.001                       0.01                            1000           10                    0.5                0.05              3
          251        283277      53.7695      -0.367213        99.4266  2.8353e+07                500                     3            0.001                       0.01                            1000           10                    0.5                0                 3
          251        284477      54.0586      -0.370775       100.005   2.8473e+07                500                     3            0.001                       0.01                            1000          100                    0.7                0.1               3
          251        284750      54.549       -0.371207        99.2692  2.85003e+07               500                     3            0.001                       0.01                            1000           10                    0.3                0                 3
          251        285135      52.7709      -0.369967        98.4599  2.85388e+07               500                     3            0.001                       0.01                            1000           10                    0.3                0.1               3
          251        285166      53.4346      -0.368949        99.0531  2.85419e+07               500                     3            0.001                       0.01                            1000           10                    0.3                0.05              3
          251        286111      52.501       -0.369728        99.3471  2.86364e+07               500                     3            0.001                       0.01                            1000            1                    0.3                0.1               3
          251        286190      53.5329      -0.372918        99.5603  2.86443e+07               500                     3            0.001                       0.01                            1000            1                    0.3                0.05              3
          251        287320      53.0161      -0.372433        99.6654  2.87573e+07               500                     3            0.001                       0.01                            1000           10                    0.7                0.1               3
          251        291594      53.9409      -0.368694       102.128   2.91847e+07               500                     3            0.001                       0.01                            1000            1                    0.5                0                 3
          251        291709      53.5657      -0.370772       100.16    2.91962e+07               500                     3            0.001                       0.01                            1000           10                    0.7                0.05              3
          251        292936      53.652       -0.368784        98.514   2.93189e+07               500                     3            0.001                       0.01                            1000           10                    0.7                0                 3
          251        293218      53.5385      -0.372663        97.1491  2.93471e+07               500                     3            0.001                       0.01                            1000            1                    0.3                0                 3
          251        306173     135.191       -0.395338       193.928   3.06427e+07              1000                     1            0.0001                      0.01                            1000           10                    0.3                0.1               1
          251        308214     135.083       -0.392067       193.756   3.08468e+07              1000                     1            0.0001                      0.01                            1000          100                    0.5                0.05              1
          251        308815     105.909       -0.382774       189.145   3.09069e+07              1000                     1            0.0001                      0.1                             1000            0.1                  0.3                0.05              1
          251        308919     135.203       -0.392579       194.188   3.09173e+07              1000                     1            0.0001                      0.01                            1000          100                    0.3                0.05              1
          251        312693     135.283       -0.397049       194.14    3.12947e+07              1000                     1            0.0001                      0.01                            1000          100                    0.3                0                 1
          251        314354     135.594       -0.393939       194.179   3.14608e+07              1000                     1            0.0001                      0.01                            1000           10                    0.3                0.05              1
          251        314759     135.687       -0.396007       193.331   3.15013e+07              1000                     1            0.0001                      0.01                            1000           10                    0.7                0.05              1
          251        315004     132.574       -0.389324       194.443   3.15258e+07              1000                     1            0.0001                      0.001                           1000            0.1                  0.7                0.1               1
          251        315641     135.086       -0.39188        193.566   3.15895e+07              1000                     1            0.0001                      0.01                            1000          100                    0.7                0.05              1
          251        315823     135.167       -0.388118       192.568   3.16077e+07              1000                     1            0.0001                      0.01                            1000          100                    0.3                0.1               1
          251        316428     135.192       -0.394065       193.954   3.16682e+07              1000                     1            0.0001                      0.01                            1000           10                    0.3                0                 1
          251        316865     135.396       -0.396949       194.063   3.17119e+07              1000                     1            0.0001                      0.01                            1000           10                    0.5                0.05              1
          251        317551     134.976       -0.394277       194.563   3.17805e+07              1000                     1            0.0001                      0.01                            1000           10                    0.5                0.1               1
          251        319062     135.395       -0.397086       193.374   3.19316e+07              1000                     1            0.0001                      0.01                            1000          100                    0.5                0                 1
          251        320467      68.7857      -0.361822        92.6447  3.2072e+07                500                     3            0.001                       0.1                             1000            0.1                  0.5                0                 1
          251        320960     135.199       -0.392766       194.101   3.21214e+07              1000                     1            0.0001                      0.01                            1000          100                    0.7                0                 1
          251        321165     135.156       -0.393862       194.063   3.21419e+07              1000                     1            0.0001                      0.01                            1000            0.1                  0.7                0.1               1
          251        321361     134.691       -0.390701       192.901   3.21615e+07              1000                     1            0.0001                      0.01                            1000            0.1                  0.7                0                 1
          251        321740     132.938       -0.389308       195.706   3.21994e+07              1000                     1            0.0001                      0.001                           1000          100                    0.7                0.05              1
          251        322473      84.068       -0.362734        96.5313  3.22726e+07               500                     3            0.001                       0.01                            1000            1                    0.5                0                 1
          251        322715     134.666       -0.393405       194.618   3.22969e+07              1000                     1            0.0001                      0.01                            1000          100                    0.5                0.1               1
          251        323156     133.474       -0.395319       194.729   3.2341e+07               1000                     1            0.0001                      0.001                           1000            0.1                  0.7                0                 1
          251        324524     135.117       -0.392741       193.277   3.24778e+07              1000                     1            0.0001                      0.01                            1000           10                    0.5                0                 1
          251        324775      84.9139      -0.363763        94.5915  3.25028e+07               500                     3            0.001                       0.01                            1000           10                    0.7                0                 1
          251        325136      84.2317      -0.361219        95.6708  3.25389e+07               500                     3            0.001                       0.01                            1000           10                    0.3                0.05              1
          251        325262      84.2686      -0.358871        93.4343  3.25515e+07               500                     3            0.001                       0.01                            1000            1                    0.3                0.05              1
          251        325494      84.3175      -0.365339        93.3066  3.25747e+07               500                     3            0.001                       0.01                            1000           10                    0.5                0.1               1
          251        325556      84.1211      -0.361018        93.2082  3.25809e+07               500                     3            0.001                       0.01                            1000            1                    0.5                0.05              1
          251        325689      84.1967      -0.364353        92.9261  3.25942e+07               500                     3            0.001                       0.01                            1000           10                    0.3                0.1               1
          251        325717      83.9042      -0.36146         94.1852  3.2597e+07                500                     3            0.001                       0.01                            1000           10                    0.7                0.1               1
          251        326463      83.897       -0.36363         92.1882  3.26716e+07               500                     3            0.001                       0.01                            1000          100                    0.7                0.1               1
          251        327035      84.6939      -0.360508        94.841   3.27288e+07               500                     3            0.001                       0.01                            1000           10                    0.5                0                 1
          251        327243      84.177       -0.368706        95.2787  3.27496e+07               500                     3            0.001                       0.01                            1000            1                    0.3                0                 1
          251        327320      85.2672      -0.360261        95.6773  3.27573e+07               500                     3            0.001                       0.01                            1000           10                    0.3                0                 1
          251        327842     134.826       -0.39619        193.403   3.28096e+07              1000                     1            0.0001                      0.01                            1000          100                    0.7                0.1               1
          251        328287     135.166       -0.395053       193.241   3.28541e+07              1000                     1            0.0001                      0.01                            1000            0.1                  0.7                0.05              1
          251        329416      84.3629      -0.368831        94.8187  3.29669e+07               500                     3            0.001                       0.01                            1000           10                    0.7                0.05              1
          251        329549      83.4571      -0.360772        94.2856  3.29802e+07               500                     3            0.001                       0.01                            1000           10                    0.5                0.05              1
          251        330791      83.7914      -0.366496        95.4341  3.31044e+07               500                     3            0.001                       0.01                            1000            1                    0.3                0.1               1
