  numStations    runDownBat    travelDur    batteryDiff    waitingTime     bestLoss    simulationTime    numClosestStations    carConsumption    exponentialLambdaCities    endCityRatio    chargingTreshold    batteryTolerance    carVelocity
          300        113453     118.513       -0.393529       213.245   1.13756e+07              1000                     1            0.0001                      0.001            1                    0.3                0.1               2
          300        113539     117.844       -0.396331       188.257   1.13842e+07              1000                     3            0.0001                      0.01             1                    0.5                0.05              2
          300        113723     117.213       -0.391939       197.04    1.14026e+07              1000                     3            0.0001                      0.01             1                    0.3                0.05              2
          300        113748      91.0529      -0.383554       193.746   1.14051e+07              1000                     3            0.0001                      0.1              1                    0.7                0.05              2
          300        113841     119.214       -0.397555       203.664   1.14144e+07              1000                     1            0.0001                      0.001            0.01                 0.3                0.05              2
          300        113968     117.923       -0.390152       190.248   1.14271e+07              1000                     3            0.0001                      0.01           100                    0.3                0.1               2
          300        113976     119.999       -0.396529       192.111   1.14279e+07              1000                     3            0.0001                      0.01             1                    0.7                0.05              2
          300        114050     115.02        -0.395609       206.638   1.14353e+07              1000                     1            0.0001                      0.01           100                    0.7                0.1               2
          300        114121     117.906       -0.395839       205.048   1.14424e+07              1000                     1            0.0001                      0.01             0.01                 0.7                0.05              2
          300        114189      90.6843      -0.382841       186.746   1.14492e+07              1000                     3            0.0001                      0.1             10                    0.3                0.1               2
          300        114204     114.498       -0.394103       193.858   1.14507e+07              1000                     3            0.0001                      0.01           100                    0.5                0                 2
          300        114226      92.7752      -0.383975       186.777   1.14529e+07              1000                     3            0.0001                      0.1            100                    0.5                0.1               2
          300        114263      91.0466      -0.383876       186.652   1.14566e+07              1000                     3            0.0001                      0.1              0.01                 0.7                0.05              2
          300        114285     118.581       -0.394658       207.001   1.14588e+07              1000                     1            0.0001                      0.001            0.01                 0.5                0.1               2
          300        114376      91.7565      -0.383155       181.737   1.14679e+07              1000                     3            0.0001                      0.1              1                    0.7                0                 2
          300        114506      91.7131      -0.383071       187.415   1.14809e+07              1000                     3            0.0001                      0.1              0.1                  0.7                0.05              2
          300        114588     114.861       -0.393058       210.991   1.14891e+07              1000                     1            0.0001                      0.01             0.01                 0.3                0                 2
          300        114931      91.2507      -0.383315       188.389   1.15234e+07              1000                     3            0.0001                      0.1             10                    0.5                0.1               2
          300        114988      91.7503      -0.384206       188.065   1.15291e+07              1000                     3            0.0001                      0.1              0.01                 0.3                0                 2
          300        115061     114.168       -0.392048       190.124   1.15364e+07              1000                     3            0.0001                      0.01           100                    0.7                0.05              2
          300        115247      91.1109      -0.383887       185.767   1.1555e+07               1000                     3            0.0001                      0.1            100                    0.3                0                 2
          300        115279     121.489       -0.396848       208.534   1.15582e+07              1000                     1            0.0001                      0.001            0.01                 0.5                0                 2
          300        115361     117.721       -0.400458       203.401   1.15664e+07              1000                     1            0.0001                      0.001            1                    0.5                0.1               2
          300        115371     114.399       -0.393577       205.949   1.15674e+07              1000                     1            0.0001                      0.01             0.1                  0.7                0.1               2
          300        115576      91.8103      -0.383655       183.693   1.15879e+07              1000                     3            0.0001                      0.1              1                    0.3                0                 2
          300        115804     112.75        -0.392535       206.145   1.16107e+07              1000                     1            0.0001                      0.01           100                    0.7                0.05              2
          300        115871     114.047       -0.393196       206.843   1.16174e+07              1000                     1            0.0001                      0.01             0.1                  0.7                0.05              2
          300        116318      92.1706      -0.383833       186.338   1.16621e+07              1000                     3            0.0001                      0.1             10                    0.5                0                 2
          300        116388     119.966       -0.392266       201.619   1.16691e+07              1000                     1            0.0001                      0.001            0.01                 0.7                0                 2
          300        116394     122.263       -0.398806       207.586   1.16697e+07              1000                     1            0.0001                      0.001            0.1                  0.3                0                 2
          300        116497      91.9412      -0.38275        182.778   1.168e+07                1000                     3            0.0001                      0.1              1                    0.5                0.1               2
          300        116620     124.01        -0.400217       207.579   1.16923e+07              1000                     1            0.0001                      0.001           10                    0.3                0                 2
