node_id latitude longitude city_id distance_km
63 50.0715 14.3967 513 2.49296
64 49.39 14.6906 286 0.674812
65 48.8918 14.4377 250 7.20483
66 50.0629 14.4306 513 2.80759
67 50.0368 14.4475 513 5.94253
68 50.0366 14.4462 513 5.93455
69 50.0932 14.5289 513 7.70551
70 50.093 14.5289 513 7.70392
71 50.046 14.4561 513 5.24075
72 50.0465 14.4553 513 5.16209
73 50.034 14.4433 513 6.15524
74 50.034 14.4434 513 6.1529
75 50.0548 14.3402 416 6.5406
76 50.0554 14.3394 416 6.46334
77 50.0652 14.3352 416 5.76056
78 50.0556 14.3407 416 6.53267
79 50.0704 14.3353 416 5.61502
80 50.0702 14.3351 416 5.60534
81 50.0677 14.3336 416 5.57106
82 50.0675 14.3336 416 5.57719
83 50.066 14.335 416 5.72371
84 50.1153 14.2847 416 4.18985
85 50.0962 14.296 416 3.13117
86 49.9752 14.1087 371 2.80889
87 49.4222 15.6919 87 7.50606
88 49.1596 16.603 481 3.50014
89 49.1849 16.7221 472 1.81351
90 49.1594 16.6034 481 3.47485
91 50.0842 14.3609 513 4.31988
92 49.1601 16.5987 481 3.64134
93 49.1577 16.6002 481 3.35132
94 49.1592 16.5999 481 3.5231
95 49.1641 16.5997 470 3.2397
96 49.1796 16.564 470 3.71329
97 50.0504 14.4785 513 5.80096
98 50.0512 14.4775 513 5.68786
99 49.1489 16.6307 481 2.54458
100 49.2052 16.1553 113 0.297357
101 50.1062 14.5571 513 9.91271
102 50.0677 14.3344 416 5.62513
103 50.0682 14.3349 416 5.64111
104 50.0516 14.2922 416 4.10138
105 50.0162 14.3433 32 6.80882
106 50.0401 14.4065 513 5.37182
107 50.0389 14.4033 513 5.55338
108 50.0688 14.4018 513 2.49612
109 49.1749 16.6222 470 2.08891
110 49.164 16.6323 470 3.49317
111 49.1636 16.6325 470 3.5408
112 48.7818 16.9267 493 4.15365
113 50.1187 15.1657 399 4.27864
114 50.1185 15.1625 399 4.11484
115 50.2118 14.1135 376 2.82683
116 49.161 16.6318 470 3.78391
117 49.1754 16.6221 470 2.03499
118 49.1872 16.6193 470 0.804686
119 49.1835 16.6059 470 1.04342
120 49.1861 16.6149 470 0.733866
121 50.1082 14.5735 513 11.0993
122 49.2332 16.5869 470 4.88741
123 49.2333 16.5868 470 4.8989
124 49.2336 16.5876 470 4.91078
125 49.2339 16.5866 470 4.96503
126 49.6631 17.1021 1 4.6678
127 49.6639 17.1016 1 4.57561
128 49.6642 17.1016 1 4.54407
129 49.6631 17.1021 1 4.67389
130 49.6622 17.1037 1 4.81388
131 49.6607 17.1062 1 5.0375
132 49.1569 16.5999 481 3.27218
133 49.1563 16.6 481 3.20814
134 49.2751 17.0212 505 1.61018
135 49.5727 17.232 299 2.7453
136 49.5842 17.3751 297 1.36361
137 49.5784 17.3886 297 2.46634
138 49.5523 17.7152 307 1.4822
139 49.5523 17.7154 307 1.46687
140 49.5526 17.7159 307 1.44129
141 49.5579 17.7489 307 1.49004
142 49.5567 17.7396 307 1.00991
143 49.1837 16.6089 470 0.966548
144 49.1839 16.6083 470 0.955126
145 49.1737 16.602 470 2.1663
146 49.1893 16.6386 470 2.00752
147 49.1857 16.666 470 4.03757
148 49.1851 16.6666 470 4.09527
149 49.6045 17.219 299 2.59229
150 49.6044 17.2183 299 2.63183
151 49.5989 17.2312 299 1.53534
152 49.5994 17.2307 299 1.5908
153 49.7849 16.9188 310 0.888062
154 49.7833 16.9177 310 0.721659
155 49.6602 17.1034 1 5.00173
156 49.6601 17.1037 1 5.02157
157 49.5827 17.244 299 1.36509
158 49.5818 17.2475 299 1.39317
159 49.5812 17.2508 299 1.42963
160 49.5809 17.249 299 1.47496
161 49.5812 17.2498 299 1.42862
162 50.1325 14.4905 513 7.03341
163 49.6038 17.2192 299 2.54649
164 49.7343 16.9612 311 2.65662
165 49.7357 16.9588 311 2.43108
166 49.5809 17.2489 299 1.47072
167 49.5817 17.2484 299 1.39279
168 49.5835 17.2421 299 1.34815
169 49.5877 17.2797 299 2.17771
170 49.0968 16.601 478 0.875109
171 49.1009 16.6018 478 1.31801
172 49.1056 16.6039 478 1.83936
173 49.6899 17.049 1 2.31248
174 49.6912 17.0483 1 2.27983
175 49.6876 17.0527 1 2.26002
176 49.6907 17.0521 1 2.07886
177 49.5827 17.2412 299 1.4512
178 49.6064 17.2137 299 3.02999
179 49.6903 17.0498 1 2.23796
180 49.6047 17.2182 299 2.65319
181 49.6905 17.0494 1 2.2507
