  numStations    runDownBat    travelDur    batteryDiff    waitingTime     bestLoss    numClosestStations    exponentialLambdaCities    endCityRatio    chargingTreshold    batteryTolerance
          300        635756      80.4667      -0.344057        199.267  6.36059e+07                     1                      0.1              0.01                 0.5                0.1
          300        636054     121.306       -0.345025        176.841  6.36357e+07                     5                      0.001          100                    0.7                0
          300        636266      82.2764      -0.34406         194.582  6.36569e+07                     1                      0.1            100                    0.3                0.1
          300        636392     111.071       -0.34691         186.893  6.36695e+07                     5                      0.01             1                    0.3                0.1
          300        636397      83.364       -0.343075        182.051  6.367e+07                       5                      0.1            100                    0.5                0
          300        636628     116.046       -0.344981        205.019  6.36931e+07                     1                      0.001            0.01                 0.3                0.1
          300        636845      81.1632      -0.343563        194.458  6.37148e+07                     1                      0.1            100                    0.7                0.1
          300        637199     123.437       -0.346963        201.577  6.37502e+07                     1                      0.001            1                    0.5                0.05
          300        637272     115.651       -0.348454        185.699  6.37575e+07                     5                      0.01             0.01                 0.5                0.05
          300        637649     123.573       -0.345977        207.974  6.37952e+07                     1                      0.001            0.01                 0.5                0
          300        637651      82.7541      -0.343117        191.808  6.37954e+07                     1                      0.1            100                    0.5                0.05
          300        638128     116.901       -0.345447        185.72   6.38431e+07                     5                      0.01           100                    0.7                0.1
          300        638410     123.028       -0.347648        182.196  6.38713e+07                     5                      0.001            1                    0.5                0
          300        638541      97.613       -0.346503        197.742  6.38844e+07                     1                      0.01           100                    0.5                0
          300        638791     114.174       -0.346559        187.048  6.39094e+07                     5                      0.01             0.01                 0.5                0
          300        638826     118.325       -0.339866        183.613  6.39129e+07                     5                      0.01             1                    0.3                0.05
          300        639016      81.74        -0.344221        198.462  6.39319e+07                     1                      0.1              1                    0.3                0.1
          300        639087     120.412       -0.343489        177.781  6.3939e+07                      5                      0.001          100                    0.7                0.05
          300        639213     112.258       -0.344559        184.802  6.39516e+07                     5                      0.01           100                    0.3                0.1
          300        639285      97.5834      -0.346456        191.735  6.39588e+07                     1                      0.01             0.01                 0.7                0.05
          300        639503     115.47        -0.344932        201.153  6.39806e+07                     1                      0.001          100                    0.7                0.1
          300        639614     114.172       -0.34402         208.754  6.39917e+07                     1                      0.01             1                    0.7                0
          300        639919     119.478       -0.345626        181.368  6.40222e+07                     5                      0.01           100                    0.3                0
          300        640186     111.522       -0.344218        198.116  6.40489e+07                     1                      0.01             1                    0.3                0.1
          300        640450     119.096       -0.348433        202.27   6.40753e+07                     1                      0.001          100                    0.5                0.1
          300        640674      83.882       -0.342627        169.099  6.40977e+07                    10                      0.1              0.01                 0.5                0
          300        640680     121.966       -0.347296        187.494  6.40983e+07                     5                      0.001            0.01                 0.7                0
          300        640830     120.858       -0.344405        198.59   6.41133e+07                     1                      0.001            0.01                 0.7                0
          300        640902     115.564       -0.345488        202.209  6.41205e+07                     1                      0.01           100                    0.7                0
          300        641097      97.6049      -0.340933        204.419  6.414e+07                       1                      0.01           100                    0.5                0.05
          300        641320     112.361       -0.344941        181.897  6.41623e+07                     5                      0.01           100                    0.5                0
          300        641324      81.5369      -0.345047        176.877  6.41627e+07                    10                      0.1              1                    0.5                0.1
          300        641454      98.8961      -0.346766        205.094  6.41757e+07                     1                      0.01           100                    0.3                0.1
          300        641522     109.394       -0.349301        188.115  6.41825e+07                     5                      0.01             0.01                 0.3                0.1
          300        641590     100.728       -0.348854        190.226  6.41893e+07                     5                      0.001            0.01                 0.7                0.05
          300        641610      81.4961      -0.344225        169.275  6.41913e+07                    10                      0.1              0.01                 0.3                0.1
          300        641659     118.519       -0.346751        202.803  6.41962e+07                     1                      0.001            0.01                 0.3                0.05
          300        641663     119.178       -0.343306        181.396  6.41966e+07                     5                      0.001            0.01                 0.7                0.1
          300        641678      81.6577      -0.343853        171.782  6.41981e+07                    10                      0.1              0.01                 0.7                0.1
          300        641784     118.266       -0.347128        196.703  6.42087e+07                     1                      0.01             1                    0.3                0
          300        641932     115.035       -0.345453        201.584  6.42235e+07                     1                      0.01             1                    0.5                0
          300        642185     115.711       -0.348077        188.926  6.42488e+07                     5                      0.01           100                    0.3                0.05
          300        642192     115.779       -0.347803        187.011  6.42495e+07                     5                      0.01             1                    0.7                0
