Station_ID Latitude Longitude Closer_Vertex_ID Further_Vertex_ID Segment_ID NumTotalSegments Capacity
102 50.3605 14.4671 1633 1632 0 1 4
103 49.6996 14.6743 3632 407 4 8 4
104 50.0444 16.7388 2396 2395 0 1 4
105 50.1583 14.4855 5887 1388 0 1 4
106 48.7837 16.8684 2146 2310 0 6 4
107 50.3001 14.2721 1457 1389 6 7 4
108 50.2545 12.9355 2891 2484 1 2 4
109 50.1999 12.743 5864 1975 0 1 4
110 49.3469 14.05 7311 6555 0 1 4
111 48.8826 13.6864 6113 5118 0 1 4
112 50.1391 17.7814 7758 3866 21 27 4
113 49.8876 18.0641 5776 4486 0 1 4
114 49.3335 17.4775 4890 4461 0 1 4
115 50.1497 13.8218 575 6947 4 20 4
116 49.2586 13.9137 6381 5078 0 1 4
117 49.3117 17.3733 7689 7688 0 1 4
118 48.9523 16.7297 1989 1988 0 1 4
119 49.531 14.6641 6667 6274 0 1 4
120 49.3958 13.2851 3451 3448 0 1 4
121 49.5483 17.7286 7110 4972 0 1 4
122 49.7792 18.4462 6669 5542 0 1 4
123 49.7893 16.4816 7753 7752 0 1 4
124 50.2637 12.9232 2890 2889 0 1 4
125 50.6115 13.9609 5046 5045 0 1 4
126 50.0969 12.3687 3883 527 0 1 4
127 50.0444 16.7388 2396 2395 0 1 4
128 50.0405 14.4702 4762 2298 0 1 4
129 49.22 17.6456 3683 2364 0 1 4
130 49.7344 16.9565 7350 7349 0 1 4
131 50.2706 14.2364 2403 2402 0 1 4
132 50.7479 15.1017 6775 5520 0 1 4
133 50.6608 13.868 7479 5299 0 1 4
134 50.1332 12.3115 1433 7407 0 6 4
135 49.3387 14.0752 2776 2775 0 1 4
136 49.8468 16.0474 5799 6007 11 29 4
137 49.6026 13.8773 2576 2575 0 1 4
138 48.8328 16.8686 2314 2313 0 1 4
139 50.1233 15.2803 7505 7504 0 1 4
140 49.4047 14.7192 1027 1026 0 1 4
141 49.0557 13.7881 6388 2251 0 1 4
142 50.4163 16.1689 6066 4242 0 1 4
143 49.6764 12.6043 3846 1082 0 1 4
144 49.4412 15.2054 7832 7831 0 1 4
145 49.0521 16.5421 3719 2444 0 1 4
146 49.0968 16.6018 162 161 0 1 4
147 49.6586 14.3455 833 5089 6 15 4
148 50.3651 13.6875 6645 5548 0 1 4
149 50.1791 15.7772 7258 3915 3 5 4
150 50.1344 13.2357 6160 6154 0 1 4
151 50.1343 14.4941 2622 1386 0 1 4
152 50.1515 13.9804 3234 3231 0 1 4
153 49.5062 16.5215 3551 3550 0 1 4
154 49.7352 14.6595 7157 3632 0 1 4
155 48.754 14.4558 7727 4214 14 24 4
156 49.5453 18.2103 3489 3486 0 1 4
157 49.4687 17.1351 818 817 0 1 4
158 49.8561 16.4892 966 3981 0 7 4
159 49.4183 16.5859 5293 5291 0 1 4
160 49.4236 15.689 3837 3836 0 1 4
161 49.4662 14.3543 7789 7685 81 163 4
162 50.1049 14.0795 1585 1172 0 1 4
163 50.2319 15.7919 5130 339 0 1 4
164 49.7071 13.0348 1074 1072 0 1 4
165 50.4337 16.2025 3644 3643 0 1 4
166 49.6864 15.5335 5208 5206 0 1 4
167 49.0557 13.7881 6388 2251 0 1 4
168 49.4448 15.2272 6747 4198 0 1 4
169 50.2411 17.7219 3866 7758 6 27 4
170 50.1255 17.7893 7758 3866 23 27 4
171 48.7627 16.0647 6434 6433 0 1 4
172 49.5411 14.2154 5380 2575 14 19 4
173 50.1939 12.2159 572 569 0 1 4
174 49.7931 18.2471 5171 6859 0 4 4
175 50.3071 15.8506 7568 7567 0 1 4
176 49.6712 18.3344 6207 4491 0 1 4
177 49.7034 14.0882 1352 1351 0 1 4
178 48.9497 17.7974 5580 7584 1 10 4
179 49.1864 17.5243 4562 4559 0 1 4
180 50.8143 14.9649 4545 2786 0 1 4
181 50.1954 12.1463 3144 3454 1 6 4
182 49.7265 18.018 3902 3901 0 1 4
