  numStat    runDownBat    travDur    battDiff    waitTime    numFinish    numNotFinish    numUsedStat    numStatsCust    notFinis    bestLoss    numStations    geneticNumGenerations    geneticNumBestSelection    geneticTournamentSelectionTreshold    geneticMutationTreshold
     2000          1908    104.122   -0.497357     4.04866        91924            2427            991           48544        4335      390804           2000                       10                          4                                   0.9                     0.001
     2001          1901    104.5     -0.497433     4.53068        91633            2431            972           42050        4332      390204           2000                       10                          0                                   0.9                     0.0001
     2001          1885    104.019   -0.497456     5.10724        91284            2462            967           46120        4347      388605           2000                       10                          0                                   0.7                     0.01
     2001          1892    103.715   -0.497381     5.21655        90541            2395            952           46744        4287      389305           2000                       10                          0                                   0.9                     0.01
     2001          1858    104.375   -0.497413     5.05777        91272            2396            980           45796        4254      385905           2000                       10                          4                                   0.7                     0.001
     2001          1905    104.101   -0.497412     7.17545        91049            2406            985           49550        4311      390607           2000                       20                          4                                   0.9                     0.01
     2001          1869    104.48    -0.497467     4.99923        91235            2344            976           45778        4213      387005           2000                       10                          4                                   0.9                     0.0001
     2001          1884    104.514   -0.497462     4.8696         91160            2383            996           46150        4267      388504           2000                       10                          4                                   0.9                     0.01
     2001          1866    104.346   -0.497415     4.07063        91516            2323            980           45996        4189      386704           2000                       20                          0                                   0.7                     0.001
     2001          1879    103.604   -0.497424     6.52862        91329            2532            972           53310        4411      388006           2000                       20                          4                                   0.9                     0.0001
     2001          1927    104.399   -0.497482     6.12671        91550            2430            987           50334        4357      392806           2000                       20                          4                                   0.7                     0.01
     2001          1846    104.004   -0.49742      6.50014        90794            2469            991           51280        4315      384706           2000                       20                          4                                   0.7                     0.0001
     2001          1932    104.223   -0.497483     6.25605        91617            2483           1005           54268        4415      393306           2000                       20                          0                                   0.9                     0.01
     2001          1911    104.087   -0.49741      3.94749        91277            2365            992           46166        4276      391204           2000                       10                          4                                   0.7                     0.0001
     2002          1861    104.162   -0.497399     4.28998        91857            2458            977           45856        4319      386304           2000                       10                          0                                   0.9                     0.001
     2002          1901    104.387   -0.497363     4.66429        91259            2339           1011           40642        4240      390304           2000                       10                          4                                   0.7                     0.01
     2003          1931    104.289   -0.497384     5.01277        90734            2415            967           41162        4346      393405           2000                       10                          0                                   0.7                     0.0001
